year,political_party,state_code,deputy_name,receipt_description,value_receipts,max_receipt
2009,AVANTE,MA,Waldir Maranhão,Airline tickets,525,525
2009,AVANTE,MA,Waldir Maranhão,Dissemination of the Parliamentary Activity.,26000,26e3
2009,AVANTE,MA,Waldir Maranhão,Fuels and lubricants.,4180,4180
2009,AVANTE,MA,Waldir Maranhão,Telephony,580,297
2009,AVANTE,PE,Silvio Costa,Airline tickets,110955,1274
2009,AVANTE,PE,Silvio Costa,Dissemination of the Parliamentary Activity.,128900,74e3
2009,AVANTE,PE,Silvio Costa,Fuels and lubricants.,38952,4461
2009,AVANTE,PE,Silvio Costa,"Locomotion, Food and Lodging",13400,6700
2009,AVANTE,PE,Silvio Costa,Maintenance of Office,44260,3e3
2009,AVANTE,PE,Silvio Costa,Postal Services,2503,1792
2009,AVANTE,PE,Silvio Costa,Renting of motor vehicles or chartering of boats,40200,6700
2009,AVANTE,PE,Silvio Costa,Telephony,22408,1658
2009,DEM,BA,Antonio Carlos Magalhães Neto,Acquisition of Office Supplies.,548,212
2009,DEM,BA,Antonio Carlos Magalhães Neto,Acquisition or Location of Software for Postal Services,8379,1280
2009,DEM,BA,Antonio Carlos Magalhães Neto,Airline tickets,146363,13104
2009,DEM,BA,Antonio Carlos Magalhães Neto,"Consultancies, Researches and Technical Works.",31698,9e3
2009,DEM,BA,Antonio Carlos Magalhães Neto,Dissemination of the Parliamentary Activity.,31943,5370
2009,DEM,BA,Antonio Carlos Magalhães Neto,Food and Meals,56,56
2009,DEM,BA,Antonio Carlos Magalhães Neto,Fuels and lubricants.,23639,165
2009,DEM,BA,Antonio Carlos Magalhães Neto,"Locomotion, Food and Lodging",15000,8e3
2009,DEM,BA,Antonio Carlos Magalhães Neto,Maintenance of Office,33569,2250
2009,DEM,BA,Antonio Carlos Magalhães Neto,Postal Services,5855,2150
2009,DEM,BA,Antonio Carlos Magalhães Neto,Publication Subscription,1186,470
2009,DEM,BA,Antonio Carlos Magalhães Neto,Renting of motor vehicles or chartering of boats,3480,1740
2009,DEM,BA,Antonio Carlos Magalhães Neto,Security Service Provided By Specialized Company.,6600,1650
2009,DEM,BA,Antonio Carlos Magalhães Neto,Telephony,58871,2145
2009,DEM,BA,Claudio Cajado,Airline tickets,169771,12750
2009,DEM,BA,Claudio Cajado,Fuels and lubricants.,30837,3960
2009,DEM,BA,Claudio Cajado,"Hosting, except for the Parliamentary in the Federal District.",1164,360
2009,DEM,BA,Claudio Cajado,"Locomotion, Food and Lodging",8837,4850
2009,DEM,BA,Claudio Cajado,Postal Services,8276,2120
2009,DEM,BA,Claudio Cajado,Renting of motor vehicles or chartering of boats,59750,10560
2009,DEM,BA,Claudio Cajado,Telephony,29405,1693
2009,DEM,BA,Fábio Souto,Airline tickets,31459,1e4
2009,DEM,BA,Fábio Souto,"Consultancies, Researches and Technical Works.",9000,3e3
2009,DEM,BA,Fábio Souto,Dissemination of the Parliamentary Activity.,64830,11160
2009,DEM,BA,Fábio Souto,Food and Meals,896,128
2009,DEM,BA,Fábio Souto,Fuels and lubricants.,34256,3913
2009,DEM,BA,Fábio Souto,"Hosting, except for the Parliamentary in the Federal District.",2011,270
2009,DEM,BA,Fábio Souto,"Locomotion, Food and Lodging",12281,5870
2009,DEM,BA,Fábio Souto,Maintenance of Office,10435,709
2009,DEM,BA,Fábio Souto,Postal Services,3356,101
2009,DEM,BA,Fábio Souto,Renting of motor vehicles or chartering of boats,45624,8e3
2009,DEM,BA,Fábio Souto,Telephony,40010,4142
2009,DEM,BA,Félix Mendonça,Acquisition of Office Supplies.,1576,540
2009,DEM,BA,Félix Mendonça,Acquisition or Location of Software for Postal Services,5539,955
2009,DEM,BA,Félix Mendonça,Airline tickets,83501,1514
2009,DEM,BA,Félix Mendonça,Dissemination of the Parliamentary Activity.,62700,3e3
2009,DEM,BA,Félix Mendonça,Food and Meals,4224,217
2009,DEM,BA,Félix Mendonça,Fuels and lubricants.,38646,3917
2009,DEM,BA,Félix Mendonça,"Hosting, except for the Parliamentary in the Federal District.",1933,1110
2009,DEM,BA,Félix Mendonça,"Locomotion, Food and Lodging",18502,2940
2009,DEM,BA,Félix Mendonça,Maintenance of Office,17800,1780
2009,DEM,BA,Félix Mendonça,Postal Services,4522,772
2009,DEM,BA,Félix Mendonça,Publication Subscription,4349,1642
2009,DEM,BA,Félix Mendonça,Renting of motor vehicles or chartering of boats,38349,3206
2009,DEM,BA,Félix Mendonça,Telephony,28432,961
2009,DEM,BA,Fernando De Fabinho,Airline tickets,34593,1318
2009,DEM,BA,Fernando De Fabinho,Dissemination of the Parliamentary Activity.,170340,45500
2009,DEM,BA,Fernando De Fabinho,Fuels and lubricants.,38659,5683
2009,DEM,BA,Fernando De Fabinho,Maintenance of Office,20000,2500
2009,DEM,BA,Fernando De Fabinho,Postal Services,268,53
2009,DEM,BA,Fernando De Fabinho,Telephony,45802,5878
2009,DEM,BA,Jorge Khoury,Acquisition of Office Supplies.,230,230
2009,DEM,BA,Jorge Khoury,Airline tickets,92555,6e3
2009,DEM,BA,Jorge Khoury,Dissemination of the Parliamentary Activity.,74058,12058
2009,DEM,BA,Jorge Khoury,Food and Meals,185,86
2009,DEM,BA,Jorge Khoury,Fuels and lubricants.,31666,3e3
2009,DEM,BA,Jorge Khoury,"Locomotion, Food and Lodging",24929,5600
2009,DEM,BA,Jorge Khoury,Maintenance of Office,17643,887
2009,DEM,BA,Jorge Khoury,Postal Services,6872,1478
2009,DEM,BA,Jorge Khoury,Renting of motor vehicles or chartering of boats,24000,4800
2009,DEM,BA,Jorge Khoury,Telephony,35261,2023
2009,DEM,BA,José Carlos Aleluia,Acquisition or Location of Software for Postal Services,5199,5e3
2009,DEM,BA,José Carlos Aleluia,Airline tickets,57056,8e3
2009,DEM,BA,José Carlos Aleluia,"Consultancies, Researches and Technical Works.",11000,6e3
2009,DEM,BA,José Carlos Aleluia,Dissemination of the Parliamentary Activity.,34000,1e4
2009,DEM,BA,José Carlos Aleluia,Food and Meals,122,57
2009,DEM,BA,José Carlos Aleluia,Fuels and lubricants.,24014,1158
2009,DEM,BA,José Carlos Aleluia,"Hosting, except for the Parliamentary in the Federal District.",1357,711
2009,DEM,BA,José Carlos Aleluia,"Locomotion, Food and Lodging",30514,9e3
2009,DEM,BA,José Carlos Aleluia,Maintenance of Office,13572,1330
2009,DEM,BA,José Carlos Aleluia,Postal Services,2399,563
2009,DEM,BA,José Carlos Aleluia,Renting of motor vehicles or chartering of boats,56305,9800
2009,DEM,BA,José Carlos Aleluia,Security Service Provided By Specialized Company.,5000,5e3
2009,DEM,BA,José Carlos Aleluia,Telephony,50635,6764
2009,DEM,BA,Luiz Carreira,Acquisition of Office Supplies.,35,29
2009,DEM,BA,Luiz Carreira,Acquisition or Location of Software for Postal Services,2826,590
2009,DEM,BA,Luiz Carreira,Airline tickets,62772,10500
2009,DEM,BA,Luiz Carreira,Dissemination of the Parliamentary Activity.,15580,3590
2009,DEM,BA,Luiz Carreira,Food and Meals,2553,159
2009,DEM,BA,Luiz Carreira,Fuels and lubricants.,31088,170
2009,DEM,BA,Luiz Carreira,"Hosting, except for the Parliamentary in the Federal District.",380,298
2009,DEM,BA,Luiz Carreira,"Locomotion, Food and Lodging",13020,3900
2009,DEM,BA,Luiz Carreira,Maintenance of Office,23274,816
2009,DEM,BA,Luiz Carreira,Postal Services,7800,1407
2009,DEM,BA,Luiz Carreira,Publication Subscription,1122,546
2009,DEM,BA,Luiz Carreira,Renting of motor vehicles or chartering of boats,24741,4100
2009,DEM,BA,Luiz Carreira,Telephony,20262,913
2009,DEM,DF,Alberto Fraga,Airline tickets,1084,378
2009,DEM,DF,Alberto Fraga,Telephony,13646,2020
2009,DEM,DF,Osorio Adriano,Airline tickets,1300,524
2009,DEM,DF,Osorio Adriano,Fuels and lubricants.,10761,258
2009,DEM,DF,Osorio Adriano,Maintenance of Office,2238,1890
2009,DEM,DF,Osorio Adriano,Postal Services,3694,1170
2009,DEM,DF,Osorio Adriano,Telephony,14943,2684
2009,DEM,GO,Ronaldo Caiado,Acquisition of Office Supplies.,317,247
2009,DEM,GO,Ronaldo Caiado,Acquisition or Location of Software for Postal Services,2004,720
2009,DEM,GO,Ronaldo Caiado,Airline tickets,50022,3375
2009,DEM,GO,Ronaldo Caiado,Dissemination of the Parliamentary Activity.,174,87
2009,DEM,GO,Ronaldo Caiado,Fuels and lubricants.,26618,159
2009,DEM,GO,Ronaldo Caiado,"Hosting, except for the Parliamentary in the Federal District.",2435,1159
2009,DEM,GO,Ronaldo Caiado,"Locomotion, Food and Lodging",30000,5300
2009,DEM,GO,Ronaldo Caiado,Maintenance of Office,36919,6500
2009,DEM,GO,Ronaldo Caiado,Postal Services,9295,2350
2009,DEM,GO,Ronaldo Caiado,Renting of motor vehicles or chartering of boats,32500,6500
2009,DEM,GO,Ronaldo Caiado,Security Service Provided By Specialized Company.,1230,180
2009,DEM,GO,Ronaldo Caiado,Telephony,41846,5354
2009,DEM,MA,Clóvis Fecury,Airline tickets,53849,15e3
2009,DEM,MA,Clóvis Fecury,"Consultancies, Researches and Technical Works.",19200,15e3
2009,DEM,MA,Clóvis Fecury,Dissemination of the Parliamentary Activity.,46500,25e3
2009,DEM,MA,Clóvis Fecury,Fuels and lubricants.,12151,447
2009,DEM,MA,Clóvis Fecury,"Locomotion, Food and Lodging",18575,7500
2009,DEM,MA,Clóvis Fecury,Postal Services,9363,1659
2009,DEM,MA,Clóvis Fecury,Renting of motor vehicles or chartering of boats,13350,7120
2009,DEM,MA,Clóvis Fecury,Telephony,27291,2620
2009,DEM,MG,Carlos Melles,Acquisition of Office Supplies.,19565,7800
2009,DEM,MG,Carlos Melles,Airline tickets,15311,991
2009,DEM,MG,Carlos Melles,"Consultancies, Researches and Technical Works.",1516,1516
2009,DEM,MG,Carlos Melles,Dissemination of the Parliamentary Activity.,76060,25e3
2009,DEM,MG,Carlos Melles,Food and Meals,104,104
2009,DEM,MG,Carlos Melles,Fuels and lubricants.,38971,745
2009,DEM,MG,Carlos Melles,Maintenance of Office,55479,1e4
2009,DEM,MG,Carlos Melles,Postal Services,29347,1560
2009,DEM,MG,Carlos Melles,Telephony,17079,825
2009,DEM,MG,Jairo Ataíde,Acquisition of Office Supplies.,167,167
2009,DEM,MG,Jairo Ataíde,Airline tickets,38100,1881
2009,DEM,MG,Jairo Ataíde,"Consultancies, Researches and Technical Works.",32500,9500
2009,DEM,MG,Jairo Ataíde,Dissemination of the Parliamentary Activity.,68008,17500
2009,DEM,MG,Jairo Ataíde,Food and Meals,136,71
2009,DEM,MG,Jairo Ataíde,Fuels and lubricants.,34451,4857
2009,DEM,MG,Jairo Ataíde,"Hosting, except for the Parliamentary in the Federal District.",236,236
2009,DEM,MG,Jairo Ataíde,"Locomotion, Food and Lodging",15931,3500
2009,DEM,MG,Jairo Ataíde,Maintenance of Office,1841,325
2009,DEM,MG,Jairo Ataíde,Postal Services,4663,611
2009,DEM,MG,Jairo Ataíde,Renting of motor vehicles or chartering of boats,34491,10500
2009,DEM,MG,Jairo Ataíde,Telephony,14254,930
2009,DEM,MG,João Bittar,Acquisition of Office Supplies.,703,125
2009,DEM,MG,João Bittar,Acquisition or Location of Software for Postal Services,16361,1970
2009,DEM,MG,João Bittar,Airline tickets,6256,415
2009,DEM,MG,João Bittar,"Consultancies, Researches and Technical Works.",2387,1600
2009,DEM,MG,João Bittar,Dissemination of the Parliamentary Activity.,55043,17e3
2009,DEM,MG,João Bittar,Food and Meals,2476,85
2009,DEM,MG,João Bittar,Fuels and lubricants.,31769,3407
2009,DEM,MG,João Bittar,"Hosting, except for the Parliamentary in the Federal District.",7442,621
2009,DEM,MG,João Bittar,"Locomotion, Food and Lodging",3452,550
2009,DEM,MG,João Bittar,Maintenance of Office,37930,2255
2009,DEM,MG,João Bittar,Postal Services,2418,450
2009,DEM,MG,João Bittar,Renting of motor vehicles or chartering of boats,207,41
2009,DEM,MG,João Bittar,Security Service Provided By Specialized Company.,910,127
2009,DEM,MG,João Bittar,Telephony,46484,1959
2009,DEM,MG,Lael Varella,Acquisition of Office Supplies.,8676,4766
2009,DEM,MG,Lael Varella,Acquisition or Location of Software for Postal Services,7478,4e3
2009,DEM,MG,Lael Varella,Airline tickets,19069,588
2009,DEM,MG,Lael Varella,"Consultancies, Researches and Technical Works.",67745,4200
2009,DEM,MG,Lael Varella,Dissemination of the Parliamentary Activity.,46726,4800
2009,DEM,MG,Lael Varella,Food and Meals,496,229
2009,DEM,MG,Lael Varella,Fuels and lubricants.,30378,4345
2009,DEM,MG,Lael Varella,"Hosting, except for the Parliamentary in the Federal District.",407,207
2009,DEM,MG,Lael Varella,"Locomotion, Food and Lodging",475,168
2009,DEM,MG,Lael Varella,Maintenance of Office,32187,5881
2009,DEM,MG,Lael Varella,Postal Services,27216,3800
2009,DEM,MG,Lael Varella,Telephony,10933,1022
2009,DEM,MG,Vitor Penido,Acquisition of Office Supplies.,1038,578
2009,DEM,MG,Vitor Penido,Airline tickets,11639,710
2009,DEM,MG,Vitor Penido,Dissemination of the Parliamentary Activity.,30500,2500
2009,DEM,MG,Vitor Penido,Food and Meals,322,129
2009,DEM,MG,Vitor Penido,Fuels and lubricants.,35529,3650
2009,DEM,MG,Vitor Penido,"Hosting, except for the Parliamentary in the Federal District.",450,225
2009,DEM,MG,Vitor Penido,"Locomotion, Food and Lodging",34865,6130
2009,DEM,MG,Vitor Penido,Maintenance of Office,1781,493
2009,DEM,MG,Vitor Penido,Postal Services,16337,4662
2009,DEM,MG,Vitor Penido,Renting of motor vehicles or chartering of boats,60720,6130
2009,DEM,MG,Vitor Penido,Telephony,59005,2738
2009,DEM,PA,Lira Maia,Acquisition of Office Supplies.,236,236
2009,DEM,PA,Lira Maia,Acquisition or Location of Software for Postal Services,715,505
2009,DEM,PA,Lira Maia,Airline tickets,65443,7500
2009,DEM,PA,Lira Maia,"Consultancies, Researches and Technical Works.",46640,1e4
2009,DEM,PA,Lira Maia,Dissemination of the Parliamentary Activity.,30550,20300
2009,DEM,PA,Lira Maia,Food and Meals,3445,540
2009,DEM,PA,Lira Maia,Fuels and lubricants.,40172,4300
2009,DEM,PA,Lira Maia,"Hosting, except for the Parliamentary in the Federal District.",1984,580
2009,DEM,PA,Lira Maia,"Locomotion, Food and Lodging",17074,7600
2009,DEM,PA,Lira Maia,Maintenance of Office,88,88
2009,DEM,PA,Lira Maia,Postal Services,2128,766
2009,DEM,PA,Lira Maia,Renting of motor vehicles or chartering of boats,34030,7600
2009,DEM,PA,Lira Maia,Telephony,16734,752
2009,DEM,PA,Vic Pires Franco,Acquisition of Office Supplies.,93,54
2009,DEM,PA,Vic Pires Franco,Acquisition or Location of Software for Postal Services,2950,500
2009,DEM,PA,Vic Pires Franco,Airline tickets,4070,678
2009,DEM,PA,Vic Pires Franco,"Consultancies, Researches and Technical Works.",10000,5e3
2009,DEM,PA,Vic Pires Franco,Dissemination of the Parliamentary Activity.,25500,15e3
2009,DEM,PA,Vic Pires Franco,Food and Meals,402,93
2009,DEM,PA,Vic Pires Franco,Fuels and lubricants.,16894,416
2009,DEM,PA,Vic Pires Franco,"Locomotion, Food and Lodging",7802,3200
2009,DEM,PA,Vic Pires Franco,Maintenance of Office,255,66
